preprocessed_review,sentiment
recommend melia caribe tropical dominican republic matter traveled extensively carribean bad experience layout resort poorly designed large need ridiculous train spews stinky smoke train station right room sleep continuously disturbed late night partiers train whistle usually walked nt think wearing nice shoe especially heel cobblestone path ruin themthe food absolutely horrendous picky buffet slop day bfast lunch pretty live bean rice chicken usually okay usually dry overcooked nt think steak pork wo nt able cut knife specialty restaurant require reservation day steakhouse terrible nt eat steak french restaurant awful japanese italian restaurant best good sushi raviolipeople getting sick left right heard story people ending hospital mexico nt drink water beach water okay nothing like cayman turk caicos really nothing lie sun bored quite quickly safe leave compound unless excursion told nt worth bother bright gym fairly good probably vacation actually lost weight worked day course nt eat spa good best facial,-1
royal service week resort advertises royal service charge deliver lack attention required class star nice room close facility difference paid far bigger tv slightly larger room property sell reduced rate nt pay price book royal service deliver use treatment sandal sandal work hard day want paid pay slightly higher price sandal return home refreashed frustrated planned visiting paradisus costa rica based adventure,-1
['shocked disappointed supposed celebration trip hotel nearly ruined vacation biggest issue unable towel change washclothes room despite repeated last request during housekeeping desk management on day sheet changed received turn service room dirty bed courteously and voiced concern received response to hotel corporate great experience rose westin past times real shocker'],-1
['worst hotel dirty hotel worst night hotel near strip restaurant looking bargin experience and comprehension advise no hotel local looking quicky place good time restaurant room room dirty kitchen bathroom unsanitary kitchenette bathroom used boiling water safty guest establishment time low warn book reason'],-1
['really really arrived aston ubud waved security barrier stopped checked liberty drag suitcase steep slope indiferent staff reception checked invited enjoy sweet soup sticky fruit cocktail cocktail refresh period cooling flannel worn shade grey suite odd clothes collection furniture haphazardly arranged dirty room looked room use time breakfast served overcrowded dining room smelt inviting quality food particularly good sea beach bed dirty access sea difficult second day spent sightseeing fantastic trip visit temple returning the hotel evening large cockroach flower type insect happily making way bathroom reported reception staff apparently informed housekeeping deal went dinner decided difficulty encountered lack care staff check night stay reception staff bit surprised decision if paid night stay refund offered charged minute internet usage horrid horrid horrid'],-1
shabby stinky room stayed hotel november booked room room gave extremely stinky apparently problem bathroom flush notice minute recognized issue gave room higher floor new room possible breath rid smoke smell time tired complain againi stay hotel good point friendly staff located station good travelling train free internet lobbybad point old dirty stinky room little personeel clean table breakfast make dirty impression hotel worse,-1
expectation ok slow staff waited hour half crib delivered inquiry status elevator unbelievably slow nothing really good area eating room ok ac unit nt working poor hotel ca nt complain price priceline,-1
acheive star rating star hotel room tub rusted toilet leaked room toilet leaked worst stayed inclusive place good food place food bland use seasoning beach dirty kelp plastic cup bag paper people begging tip understand poor country inclusive secondly stop begging nonstop went group people took turn getting sick luckily brought pepto bismol antibiotic group used kid friendly kid camp joke nephew year old minute like speaks second language german visitor trouble communicating english speaking patient know spanish little easier people say face english complicated trying meet half way thing really irritated complained broken thing room talk say yes fix clue said show nt say care ca nt gave ok spa metamorphosis ok nt forget pepto bismoltrust aruba instead,-1
worst room stayed grand westin berlin day location great room horrible experience small ugly bathroom bad smell renovated noisy ac work avoid hotel stay anymore lobby nice soon enter room want leave hotel payed room advance stay,-1
agree worst hilton absolute worst hilton stayed gold hh member travel lot absolute worst hilton world leg week vacation year old daughter took hilton property south lake tahoe ca way whistler bc rate hiltons excellentfirst charge night use internet room free wireless internet available executive lounge small converted guest room lobby went executive lounge comical business people packed elbow elbow laptop using free internet eating drinking free food sight sure decongest executive lounge nt charge internet stayed hilton honor floor noticed dirty dish newspaper hall nt picked day therethe excercise room size walk closet treadmill stepper jammed therethe people provided sort customer service bellman desk personnel management delt customer service skillsmy car parked hilton garage window smashed car ransacked hilton security simply left business card smashed window took time sweep glass ground discovered hilton security knew car broken let sit smashed window day notify series failure hilton staff touch seattle hilton director security asked nt notified car broken response policy parking manual hilton honor stated gm contact monday wednesday response finally drafted lenghty letter hilton corporate hq regarding seattle hilton,-1
disapponted booked hotel night celebrate honeymoon read hotel wallpaper guidewe ended leaving day early disappointed room especially serviceservice bad ask time receive confirmation booking parking space left car dont valet parking drive near hotel park carwe called ask cancel room second day told problem checked day wanted pay second night despite informed day long argument agreed cancel penalty promisedrooms live pricenice design spacey nice colorsshowertub room bed guess people like minibarsmall kitchen one want cookbeds short cm tall leg stick poor hotel considering price askingsecond day switched bradenburger hof fantastic pricewill,0
['will stay at absolutely nothing make think staying dump lost trash money can stay fleapit room filthy bathroom decor on unbelievable mess management at insist keeping payment will stay endanger health hotel recently refurbished nt room from recently redecorated mind refurbished'],-1
dump wow really say comfortable camping tent safer manager indian individual accomodating kick backside discovered individual staying room queen bed proceeded kick hotel sign leave persuasion let pay extra stay night night brand new honda civic window smashed possession stolen including playstation portable numerous game dvd fivehundred dollar cash case handselected wine sonoma county list go instructed parking garage dangerous area vagrant lurking corner soon sun go morning numerous person sleeping parking garage room filthy mattress bloodstained bathroom looked cleaned definetely hotel offering rate service poor accomodations worse favor stay away,-1
['wanted bad expensive stayed bad hotel uncleaniness personal rudeness overprice hidden fee incredible stayed worst hotel area definatelly worst experience hotel hadroom dirty dustysheets dirtly that blood changed daysfees new including use that minibarrude unpolite customer service desk attendantsfleas bedthere nice little hotel area stayed ffor stay go away definatelly great worth headache'],-1
['good value hotel quiet room visit new orleans stay hilton garden inn wo nt staff family friendly room large new orleans house standard great shape cleaned completely day walk room mini fridge microwave coffee maker iron ironing board free high speed internet easy access hotel fully booked hear sound room delay elevator small nice pool located roof french quarter block half away hotel quarter pay twice short night walk bother no room access key required elevator floor lobby felt building unsafe evidence system damage caused hurricane katrina'],0
['leave big disappointment new orelans resident stayed hotel repair of house building attractive outside ground floor hotel room huge disappointment vacant toilet flushed room work night arrived repaired pm following evening asked repaired returned called day verify repaired checked desk returned pm arriving room repaired hour request engineer arrived on minute called took half hour fix needed time new book handle paying for night think inexcusable armoire closet room appear smaller bank building placement window room good making room dark drearythe restaurant disaster wait minute acknowledged stand maitre host appeared a waiter duty food good service slow experience awful second night and hotel eat dinner pm arrived patron restaurant'],-1
['dump dump office dump rating board place fourstardump room mess small quite unkempt loose plaster dirty toilet wall soiled carpet moldy showerbath birdpoo window pool smell reminiscent sweaty sock cigarette location hmmm better like climbwalk mile hire taxi cab toilet stayed away far nicer youth hostel is seen far cleaner truckstop restroom stay away anytime unless anything sadist'],-1
renovation putting lipstick pig currently putting finishing touch renovation like putting lipstick pig lobby common area ac recently broke order new pool close reason given fear room motel ac wall unit kept room sort cool humid time renovated room nice size king bed th floor window dirty outside difficult freshly painted papered water stain peeling wall paper wall bathroom small leave towel drythere new vanity fixture furnishing thesleep number bed silly gimmick vacuum blower attached decent bedding clean decent linen pillow good goi cut visit short terribleno pro dubious location mockingbird near harry hines panhandler creepy people abound,-1
yikes beware mold mildew filth creepy staff nt fooled staying hotel ca nt believe reviewing hotel staying place requested refurbished room assured got horrified hotel worst experience nyc rude staff nt allow talk manager paidfor room nt available left hotel booked nyc marathon onsite restaurant nt allow use fork use room service charge hotel guest use fork eat takeout dessert geez hard income charge loan fork room filthy mold shower corner bathroom demildewed entering cleaning staff cringed oh enjoy waking morning sound jackhammer place moment entered hotel exit experience question nightmare nightmare grossly overcharged night highly overrated dump,-1
['disappointing thankfully shirt stay hotel hotel hotels dire need no refurbishment tired look compared more similarly priced kitchen hotel df bar room cheap look worn towel feel long waiting queue to breakfast new york deli still caters nonguests best way start work day resorted branch sanborns door'],-1
['noisy uncomfortable horrible service staff gave a incorrect direction venue lost city late wedding wait hear going room adjacent needle say we sleep helped out bag paid premium rate average night accomodation definitely for luxury hotel i want luxury stick season ritzcarlton westin marriott copley washington square marina better place stay stay wait better staying day inn motel'],0
worst experience hotel arrived riu naiboa hotel assigned room entering room saw living condition unfit room condition follows mold closet mold bathroom tile ceiling light fixture enamel peeled bathroom tub unsanitary twin bed instead double sizei asked different room condition entering second room living condition slightly better mold growing closet living condition unfit continuous complaint research call pay transfered habitable hotel went riu naiboa checked walked luggage checked riu palace macao remained riu palace macao dissatisfied service riu naiboa staying theriu naiboa worst experience worst accommodation seen travel,-1
happy family group travelling booked directly online hotel given confirmation receive deluxe room overlooking harbourand parkon arrival booked given room overlooking building room set couple took hotel nearly hour rectify mistake little compassion apology mistake,0
austin power decor familiar hotel seattlewhere sheet different color hairbut okbecause clean second daythe bathroom friend cringeshe asked brought flip flop sanitizer spraythe dirty shag carpet nt stop wallit crawled inchesi star saw shining worse,-1
['hell hut dungeon doom say place hot gorgeous food horrible breakfast lunch buffetts nothing change lot fly the bird eating show nicknamed place eat hell hut dungeon doom dinner edible nothing help write home best place japanese restaurant eat pool large cold went oct kept beach great lot room lot tree windy lot kid good bad depending purpose travel people friendly ran rude one room great stayed clean complaint shower tiny tent hammock porch nice group ready close group think spread purpose help like know sound bad food really ruined drink sweet food chew beer and soooooooooo bad like lot different beer corona mexican restaurant budweiser steak house ca nt remember beer japanese place maybe sapporro looking inexpensive away care perfect food premium rate place best'],0
['inhospitable stay surroundings ok plus roof garden nice nice read walksthe lobby room cozy fireplace of onaccessible internet area easy check one stay email negative to horrible attitude staff gentleman manned desk evening staff aloof seemingly wanting answer inquiry felt like two imposing one guest ok staff let up dish pile nonchalant small cleanest rid combination cigarette smoke musty smell kept window open before tad done live stood bad attitude staff mr gentleman helpful stay hotel cellai'],-1
appalling checkin checkout hotel bill deluxe hotel design brilliant totally impactical light work bath taking minute service amateur wonder staff room cleaned pm staff walking room unanounced list endless interestingly noone cared want service nt waste time make sure nt leave bag reception stuck lables left permanent mark check check total disaster good value euro euro,0
['ok wall somewhat platform difficult locate from boutique location funky edge club appears loosing luster desk staff double porter concierge appear quite ground desk staff informed restaurant request rollaway bed multiple time air conditioning system adequate muggy sydney weather weather room ok want use your hairdryer mirror time prove challenging ate restaurant est ok live hype bar crowded loud place friday evening slept all poorly active couple room honestly time felt room street noise annoying understand some carpeted room quieter stay probably westin similar'],0
hated resort family husband child disabled stayed resort june room ok time hot water time contacted service desk advise respond attitude staff working resort looked happy reflected tremendously service food terrible sick ended hosiptal beg doctor discharge early child hotel claimed sick imagination rep suggested eat bread week nice suggestion hotel aware hospital stay ambulance pick hotel doctor office equipped handle bacterial infection hotel contacted actual fact treated garbage kid club kid club child active love swim play sport interact child want kid club nothing kid night kid night sang song circle broke heart child fun year away child travel family cheap especially take year putting away money little little order enjoy week vacation disappointed hotel recommend unless young going bunch girl guy like type traveler lived dr travelled dr time treated poorly ignored posting site warning figured people picky realize hotel dr worth,0
['confirmed reservation status honoured ruined day hotel booked night night club boston prior return uk presenting confirmed date reservation with voucher provided travel agent previously advised booking recorded booking previous day room available convention boston evening deliberation accommodation hotel mile outside city inaccuracy previously told alledged earlier reservation subsequently learned probably presume special room let higher rate view media great demand evening table experience at ruined hour boston'],0
['stop complaining enjoy returned summer day miss paradisus girlfriend exactly as wanted arrived beautiful hotel helpful staff read plenty old people complain took hour bag delivered room able sidestep problem taking bag of whopping minute walk room room huge fantastic great terrace heard people complain activity resort wanted somehwere sit pool bothered want constantly entertain place looking relax perfect complaint read food taste bad meal course day reservation process difficult room day went pool morning stopped concierge make reservation night problem no thing watch roulette dealer little problem difficulty counting correct number problem chip'],-1
doublebooking fiasco nice polite staff probably position write review hotel beause stay doublebooking fiasco owl staff make moving hotel street liedse got unhappy heard news receptionist nice person travelled way london dragging suitcase way hotel told ca nt stay receptionist polite truly sorry doublebooking fiasco hotelnl website bug sort glitch website let reserve owl room actually overbooked normally nice person encountering situation like way receptionist apology fair efficient choice alternative hotel forgive terrible mistake booking wanted owl credit ability damage control care customer course really cared nt online glitch think compensated way handled mistake accident,-1
['paper inside wall know bad sneeze unwanted people across room i bless she actually happened hear a lightest sound neighbor was nt loud best people ca nt imagine lost staying biggest lack privacy experienced hotel'],-1
['stop complaining enjoy returned summer day paradisus girlfriend exactly wanted arrived beautiful hotel helpful staff read plenty people complain took hour bag delivered living room able sidestep problem taking bag whopping minute walk room living room huge fantastic great terrace heard people complain activity in resort wanted somehwere problem sit pool bothered want constantly entertain place not looking relax perfect complaint to read food bad meal course day reservation process difficult day went pool morning stopped complaining concierge make reservation night problem thing no watch roulette shop dealer little difficulty counting correct number chip'],-1
dingy rude aggressive receptionist hotel ok common area room dingy old smell dampdo misled star expect downatheel star wont disappointedhowever real low point italian worker reception outrageously rude unhelpful experienced europethey pointlessly aggressive argumentativeavoid option available,-1
miss hotel great location doubt recommending hotel deficiency need immediate attentionhotel need seious maintenance ie broken counter top leaking tap self closing room door window lock working musty stench stairwellsthere parking hotel run day plus taxno high speed internet access available cross road sister property lobby pay dayhad bad experience rude staff member checking nt swayed review,-1
['dirt hotel filtiest other hotel stayed life just got lobby more like constuction site now got one room disgusted someone wanted check carpet wall visibly black dirt floor crack slant on broken tv ensuite midle room didnt close floor slant spent hour room noticed previous guest list kindly picked nose wiped wall promptly way reception death trap elevator gave notice cutting stay night receptionist rude appolgise inconvenience i dont waste time money'],-1
bad attitude booked room barcelona based raf webpage figured sacrifice prime location luxury stay room booked booked double room instead got twin fixed pushing bed ok staff rude leave attitudesecond socalled attraction hotel closed early maybe open twice went rd floor bar drink enjoy view open hour scheduled open frustrating staff rude possibly deliberately twice asked simple direction best way downtown told incomplete wrong information told tram opposite direction transfer train line completely unnecessary metro corner nt note staying unlikely need tram later asked different person bus direct route going given curt yes giving bus line ended going city saw staff member giving condescending look group tourist funin short location ended ok proximity metro staff unfriendly unaccomodating recommend staying,-1
['phone working day french frie floor bed roach crawling bed talk ask stay seriously think twice phone work day french fry bed roach crawling up headboard young adult partying not unable good night sleep night stayed saturday tueseday party before stopped work sunday evening spoke desk employee phone working night night spoke person second attempt phone fixed went check told young lady checked problem remark oh apologizing unsatisfactory item room reason stay inspect the room to excepting room make up sure amentities worked properly'],-1
['bad hotel at really awful not place like dirty room pretty rude staff room desperatley bad breakfast stay'],-1
['beach way public access went past weekend out girlce weekend agree review room and renovated tent heard off load thud time ac went morningce hear off construction worker pillow weird smell figure worst hotel beach directly old bridge party want lay hear sound heard local shouting honking horn some fun way about relax beach bad ended going beach island believe hotel continues make improvement beach maybe consider going'],0
poorly maintained booked radisson reasonably near love field quick business trip dallas hotel booked office rate tax poorly managed maintained property wo nt return given room obviously stained dirty carpet changed room ended handicap room heat shower water varied ice cold scalding hot nothing poor housekeeping room going particularly gnawing expressway hotel central dallas wellknown obvious owner put little possible regard traveler reviewer talk renovation hotel hotel believe minute fully renovated hotel type property give american travel industry bad,-1
['stay thief stayed boyfriend night spending day orlando th birthday luckily fantastic time orlando riu hotel dirty stain seat bed room window rusty hard open room lick paint warm plaster work bascially need you knocked rebuilt harsh lobby store nice dont spend time lobby bar staff overcharged meal charged hardly speaks english properly including tv chat channel really icing cake day texted aunty maid grandmother hospital left phone bedside table went pool hour day got gone looked packed stripped room phone went reception reported stolen staff unhelpful suggested packed called number went missing answermachine knew left message grandmother called housekeeping maid said opened door room phone occupied left mobile saw round table round time table room phone dropped boyfriend phone come right room say mobile room scan room mobile enters staff suggested home unpack case nt missed flight home unpacked called say definitely didnt know taken met wasnt problem stay hotel want good holiday advice stay watch thing mysteriously used disappear warned'],-1
disappointed day unpleasant stay hotel far level expected money paid room modestely furnished oldfashioned bathroom internet connection order satelitte channel limited hotel lobby breakfast average limited variety street noisy hardly sleep day night husband suffers severe backache unhealthy mattress bright kind smiling staff wish best probably higher standard hotel definely fit better recommend hotel spite central location tram taxi available,-1
['overpriced and poor value money interest returned long weekend millennium bostonian hotel hotel poor high value money experienced and better service ended spending lot time room itinerary particularly comfortable room bought somewhat small but uncomfortable furnature night got real noisy heard sound coming nearby nightclub truck outside garbage disposal noisewe thought trying room service price money higher thought reasonable room servicewe paid night room thought poor value bed particularly uncomfortableoverall say probably fairly average hotel room fairly high price money definitely'],-1
major screwup resulted disappointment arrived affinia dumont room reserved available husband birthday nonrefundable reservation phone month advance trip br suite queen yo yo toddler wu man spoke phone helpful manager said told queen manager said overbooked room kingsz bed pullout sofa big problem toddler need sleep separately people terror result screwup tried make better rate free breakfast correct room following night nt luggage result kept night toddler teen say worst night sleep uncomfortable sofa pack stuff min waste time lot stuff kid neglected item new room learned overbooking situation happened party grown woman sister ended sleeping kingsz bed minor thing new room better sour taste mouth massage mediocre plus room clean relatively spacious bedsbedding comfy amenity nice bellman personable location decent,-1
beautiful city horrible hotel stayed night tour italy expecting star hotel instead barely deserving star ratingok start maybe dark dingy room pathetic excuse bathroom hotel bar open let start room small dark noisy wall hear door furniture rickety attepted bedside table stuck wall slide obviously condensation problem hotel room smell indeednext bathroom small dark barely shower tiny nt lean wash foot water pressure virtually non existant shower head seen better daysi agree reviewer location hotel definitely stay hesitant walking husband nt bad area decidedly unwholesome female travellersthe downside hotel advertises roof bar open whilst day fact hotel bar open positive presence pool cool afternoon pool area keptall florence city stunning circumstance stay hotel,-1
['bad costly experience unfortunately boyfriend bad experience whilst staying hotel hostel money was taken locked room whilst breakfast station staff say safe room broken nt work mysteriously opened returning room gather took money key room deposited cash locked safe locked reason early story nt work seencaught cash returned exiting room leave hotel day come locked room unlocks deposit safe code safe take cash fortunately safe relocked properly knowing able unlock access key safe reported police aware scenario surprise whatsoeva staff told heard this happening earlier day property mentioned poached street outside central station later illegal amsterdam favour stay carried away overnight bargain price euro night cost sooo'],-1
['beware kids salmonella went sunscape family program easter break kid age looking forward kid club night row locate kid club owner property help manager walkie talkie gave daughter developed food poisoning end vacation took doctor home diagnosed teen salmonella verified duplicate lab test reported police health department called hotel report manager able family speak directly see surprise nt going bother write review read recent review recurring special illness issue think seriously play hygienefood prep problem kid want punta cana club baby med twice gotten sick kid club say say'],-1
avoid hotel husband travel time yr world say worst hotel stayed inwe given room hotel small small window looked brick wall old fashioned red shag pile carpet looked like hadbeen year stain wall bed linen damp bathroom disgrace mould tile cold running water tried change room room available foran extra euro happy pay room offering smaller single bed lay head head wall nt refund stay stuck roomwe nt stay breakfast nt wait outalthough location good strongly advise stay,-1
['hotel history stayed hotel long long time ago highly reccomend chose hotel author read claw dragon book john byron john brush pack franklin biography professor kang sheng lin high energy level of politburo member cultural revolution planing staying read open book facinating background'],0
rc standard stayed night week club floor attending meeting hotel longtime ritzcarlton customer stayed property world property recently opened katrina disaster know struggling finish reconstruction facility rebuild staff pas great work term training existing staff especially club floor staff term demonstrating superior customer service ritzcarlton guest accustomed like stay club floor receive extra service amenity problem stay far numerous mention suffice say club staff appears inexperienced undertrained understaffed example morning breakfast ready amusually ask butter milk utensil coffeethey nt organized plan set service morning paper delivered room morning paper available club lounge unless requested checkin took hour inexperienced staff room sufficiently cleaned lot dust dirt refuse floor etc clock radio room took hour request receiving clock checkout club floor concierge saw struggling suitcase departing elevator offered help assistance bellman overheard guest complaining similar problem welli recommend hotel act worth extra money pay expectation receiving ritzcarlton lady gentleman serving lady gentleman service,-1
hotel unique moment inoubliable lieu hors du temp une vegetation magnifique et de bungalow intimes et ravissants,0
hope nt like air conditioning hotel pleasant reasonably priced close sight attraction checked staff polite efficient room clean appointed trouble began ac room non fuctional complained desk assured repaired complained hour ignored offered concession trouble incidently complained second time couple floor complaining avail hotel staff nothing day room unbearably hot sure room prepaid,-1
warwick bad good review warwick shock staff quite rude room fairly dirty cut asked bandaid requested bottle opener better service,-1
poor quality stay absolutely terrible sound proofing located noisy street corner jet block away pool whirlpool high speed internet hair dryer ironing board free shampoo free breakfast terrible variety room stain ceiling old room carpeting old furniture room feel dirty poor lighting reading difficult avoid place stay,-1
star worse got week stay hotel clean pretty look room ok suite worth extra sat living room tv better food star buffet small selection actually eat dinner steak place meat tasted bad skipped dinner chair time problem dr resort big small chair,0
['service need major work begin overrun cruise passenger fully booked night service problem ended incomplete list voucher provided of breakfast prepost cruise package stated breakfast included failed disclose gratuity breakfast extra wait table breakfast offered incorrectly told charge piscoteo restaurant room account proved embarrassing inconvenient dinner relied info brought nothing dinner required room order pay wakeup scheduled morning nt receive wakeup morning promised manual wake second morning turndown service on second night requested desk non going dinner ideanicelooking hotel charming old san juan countless little problem arose hour fourstar hotel thing happen old san juan sorely need competitor place category with clearly sold lucrative cruise ship market addon market zoolike atmosphere creates havoc resulting fee lapse service'],-1
danger danger weary traveler brief sister booked bedroom suite ocean veiw week june th june th arrival specifcally confirmed desk girl exactly responed yeswe taken room seperate bedroom suite veiw backside hut needle say pleased returned desk girl conveniently forgot speak english eloquent inform suite offline december constructioni handed assistant manager showed series unacceptable room room nt clean mattress warped andor bed dust rufflesi spent hour desk arguing management telephone call travel agent accomadtions facilty desk wanted charge gave agent wrong fax number send documentation release room voucherafter misled actually lied frustrated exhausted took cab door refused pay vacation savedif money waste mean stay far away,-1
nasty nt waste time money site late pay stay room scary reservation lost minute waiting pulled totally nasty room course apology asked room told none course charged credit card night stay called speak manager got run lie downright nastiness horrible people conflicting falsehood shownmany room person initial reservation told cancellation policy nt work anymore unprofessional scramble new orleans durring busy time place clean stay upsetting mile home,-1
watch single room location common room garden nice disappointed single room wish remember think author beginning edith hotel credit warn time booking small room tell essentially windowless window completely frosted hide ugly view utility shaft make feel claustrophobic add insult injury ridiculously little electric lighting room adding cavelike feel place addition bed short converted sofa short ac work properly hot spell april uncomfortable stay say bathroom considering tiny space pretty designed userfriendly recommend people stay away small single unless like living like bat,-1
piece crap hotel food awful edible way cooked la res left middle dinner service restaurant slow poor table bar drink told coke ice tea available bar downstairs restaurant cold water dipped ceiling showered house keeping room time day afternoon came beach suitcase moved mattress wall man sitting middle floor putting bed frame told happening construction place room coming day door wide open inside sheetrock plaster lay floor sliding glass door couple minute later men came said trim board asked clean mess hour later maid came add phone didnçé ring luckily awake wakeup watching patio maid fixed blanket bed changing sheet time watching happen,-1
['rd visit comingup september nov vacation decided return nov booked breakfast jan time for bringing family complaint shortage sunbeds the beach pool area stayed block shared time block staff home met friendly helpful and looking for forward jan holiday question feel all free askcarol gwilym williams'],-1
hated chose hotel rate hotel higher college football game townrestaurant closed thanksgiving weekend warning website desk staff able vague information restaurant areawebsite claim valet parking parking lot valet parking open lot claiming video surveillance instruction locate lot poorly written paying parking expensive given reservation confirmation automated nt accept bill slot poorly organized button instruction credit card locked paying method clearing entry backing got charged night instead hotel staff say website incorrect hurricane katrina katrina explain building degradation repair delay updating web information staff say parking lot control contracted satisfaction overcharge available hotelrecommendation come new orleans site town place stay,-1
['unclean terrible service stayed save money day campus visit university washington arrived told early check asked check bag went over walk uw agreed desk taking time giving in check tag okay person saved walk office desk area staff hide away room word second reach steal bag asked store luggage contained camcorder laptop backroom like normal of hotel refused came time check room horrified chair not badly stained bedskirt lay towel chair feel comfortable sitting lampshade stained coffee blood sure nt care night choose freeze butt room turn ridiculously loud heater pipe set shower head lot visible rust bathroom nt clean worst motelhotels stayed know lower comfort standard budget status intolerable'],-1
marco polo hotel hong kong stayed marco polo hotel hong kong biggest marco polo hong kong disappointed staff cheeky flippant comment service slow deluxe harbour view room paid ordered overlooked noisy construction site people complaining recommend hotel return,-1
lemon going check recheck day later asked avenune inn heavey luggage day come check desk refuesed unbeliable othere average hotelalways luggage recheck day avenue innis kindness victoria easy hand free trip victoria carrying heavy luggage agency tried fax asked fax nunber avenue inn told disconnet number agency called unable fax desk gave nd fax busy line number agency unable fax avenue inn doew let use customer fax line avenune inn exclude use internet customer unable receive important fax since unable fax agent tried room desk said telephone room working today imagine let customer use intenet overall hotel provide fax service telephonecommunication service room terrible service thinking customer emergency happen family howguest know news willl recommend ohters use hotel,-1
['dump it came florence ball clothing fair early january 1952 hotel highly rated recommended paid high price booked month advance set great staywhen checked taken charming lovely elegantlooking hotel flight stair annexe dressing room walk shirt tie room room dark gloomy cold awful long bathroom shower step bidetthere tray from dirty dish old breakfast outside door complained moved equally cold unpleasant room annexe bathroom little better designed paying nt staff saying is bad room went main time hotel breakfast staff kept gushing regular newbie totally ignored felt given second rate treatment paying rate price ruined trip'],-1
westin v expedia booked expedia people requesting room double bed arrived early august room king size bed clerk told best add rollaway bed single room available booked expedia told expedia customer westin customer expedia argued regardless booked hotel received info people arriving westin knowingly guest room sleep clerk apologetic reiterated expedia customer hotel completely booked squeeze king size bed person sleep floor extremely upset expedia equally disappointed westin knowingly putting people room capable sleeping,0
stay away work colleague stayed night worst mistake room nt clean carpet disgusting walked wearing shoe wasp nest outside window el room able open window colleague bitten twice night room metal bar running room basically stop colleague walking think problem building structure company advisor suggest stay,-1
handy subway quiet area ideally located road literally hanzomon subway station hanzomon line hotel block imperial palace area hotel residential shop restaurant busy area ideal escaping rush downtown tokyothe room small western standard average japan ft bath bit squeeze bathroom compact little way view hotel nt eat hotel chinese restaurant site vending machine floor selling beer soft drink water hotel lobby pc internet access coin operated yen minutesthere minute walk hotel starbucks minute hotelgood value money tokyo handy subway,-1
['disappointed stayed time recommended time of used modern times spotless nowthe kitchen lobby worn plain looking room picture website cannot make his balcony look beautiful the truth plain hotthe breakfast typical comfort inntype expect australia afraid this new day managementowners let place quality deteriorate'],0
